index,Full_name,Nationality,is_ovr,Overall,Potential,Age,Position,is_time,played_time
387,Marcus Thuram,France,1,78,83,24,ST,0,0
388,Aymen Mathlouthi,Tunisia,0,0,0,0,0,0,0
389,Bilel Ifa,Tunisia,0,0,0,0,0,0,0
390,Montassar Talbi,Tunisia,1,67,72,24,CB,1,466
391,Yassine Meriah,Tunisia,0,0,0,0,0,0,0
392,Nader Ghandri,Tunisia,0,0,0,0,0,0,0
393,Dylan Bronn,Tunisia,1,71,73,27,CB,1,582
394,Youssef Msakni,Tunisia,0,0,0,0,0,0,0
395,Hannibal Mejbri,Tunisia,1,64,84,19,RM,0,0
396,Issam Jebali,Tunisia,1,66,66,30,CAM,1,0
397,Wahbi Khazri,Tunisia,0,0,0,0,0,0,0
398,Taha Yassine Khenissi,Tunisia,0,0,0,0,0,0,0
399,Ali Maâloul,Tunisia,0,0,0,0,0,0,0
400,Ferjani Sassi,Tunisia,0,0,0,0,0,0,0
401,Aïssa Laïdouni,Tunisia,1,72,78,25,CDM,0,0
402,Mohamed Ali Ben Romdhane,Tunisia,0,0,0,0,0,0,0
403,Aymen Dahmen,Tunisia,0,0,0,0,0,0,0
404,Ellyes Skhiri,Tunisia,1,79,80,27,CDM,0,0
405,Ghailene Chaalali,Tunisia,0,0,0,0,0,0,0
406,Seifeddine Jaziri,Tunisia,0,0,0,0,0,0,0
407,Mohamed Dräger,Tunisia,1,70,73,26,RB,1,337
408,Wajdi Kechrida,Tunisia,0,0,0,0,0,0,0
409,Bechir Ben Saïd,Tunisia,0,0,0,0,0,0,0
410,Naïm Sliti,Tunisia,1,76,76,29,LM,1,482
411,Ali Abdi,Tunisia,1,71,71,28,LWB,1,0
412,Anis Ben Slimane,Tunisia,1,67,73,21,CM,0,0
413,Mouez Hassen,Tunisia,0,0,0,0,0,0,0
414,Keylor Navas,Costa Rica,1,88,88,35,GK,1,1115
415,Daniel Chacón,Costa Rica,0,0,0,0,0,0,0
416,Juan Pablo Vargas,Costa Rica,0,0,0,0,0,0,0
417,Keysher Fuller,Costa Rica,0,0,0,0,0,0,0
418,Celso Borges,Costa Rica,0,0,0,0,0,1,191
419,Óscar Duarte,Costa Rica,1,75,75,33,CB,1,714
420,Anthony Contreras,Costa Rica,0,0,0,0,0,0,0
421,Bryan Oviedo,Costa Rica,1,62,62,32,LB,1,609
422,Jewison Bennette,Costa Rica,1,68,80,18,LM,1,221
423,Bryan Ruiz,Costa Rica,0,0,0,0,0,0,0
424,Johan Venegas,Costa Rica,0,0,0,0,0,0,0
425,Joel Campbell,Costa Rica,0,0,0,0,0,0,0
426,Gerson Torres,Costa Rica,0,0,0,0,0,0,0
427,Youstin Salas,Costa Rica,0,0,0,0,0,0,0
428,Francisco Calvo,Costa Rica,1,69,69,29,CB,1,1260
429,Carlos Martínez,Costa Rica,0,0,0,0,0,0,0
430,Yeltsin Tejeda,Costa Rica,0,0,0,0,0,0,0
431,Esteban Alvarado,Costa Rica,0,0,0,0,0,0,0
432,Kendall Waston,Costa Rica,0,0,0,0,0,0,0
433,Brandon Aguilera,Costa Rica,0,0,0,0,0,0,0
434,Douglas López,Costa Rica,0,0,0,0,0,0,0
435,Rónald Matarrita,Costa Rica,1,71,71,27,LB,0,0
